scenario,phase,latency_avg_ms,latency_min_ms,latency_max_ms,throughput_msg_s,influxdb_available,nodered_available,grafana_available,temp_anomalies,humidity_anomalies,power_anomalies,temp_integrity
scenario_1,baseline,1.2,0.31,3.0,1.07,True,True,True,0,0,0,OK
scenario_1,during_attack,0.86,0.36,1.1,1.13,True,True,True,0,0,0,OK
scenario_2,baseline,0.96,0.32,1.33,1.13,True,True,True,0,0,0,OK
scenario_2,during_attack,0.86,0.16,1.67,1.53,True,True,True,0,0,0,OK
scenario_3,baseline,0.96,0.18,2.49,1.0,True,True,True,0,0,0,OK
scenario_3,during_attack,0.25,0.15,1.03,1.13,True,True,True,0,0,0,OK
scenario_4,baseline,0.15,0.1,0.22,1.27,True,True,True,0,0,0,OK
scenario_4,during_attack,1.02,0.24,1.87,1.07,True,True,True,0,0,0,OK
scenario_5,baseline,1.02,0.3,1.76,1.2,True,True,True,0,0,0,OK
scenario_5,during_attack,0.92,0.33,1.22,1.07,True,True,True,0,0,0,OK
