scenario,phase,latency_avg_ms,latency_min_ms,latency_max_ms,throughput_msg_s,influxdb_available,nodered_available,grafana_available,temp_anomalies,humidity_anomalies,power_anomalies,temp_integrity,ttd_seconds,ttd_detected,ttd_alert_count
scenario_1,baseline,1.16,0.52,2.07,1.0,True,True,True,0,0,3,OK,,,
scenario_1,during_attack,1.18,0.43,1.86,1.0,True,True,True,0,0,4,OK,,False,0
scenario_2,baseline,1.03,0.38,1.55,1.0,True,True,True,0,0,5,OK,,,
scenario_2,during_attack,0.83,0.24,2.11,1.0,True,True,True,0,0,6,OK,,False,0
scenario_3,baseline,0.97,0.24,1.72,1.0,True,True,True,0,0,9,OK,,,
scenario_3,during_attack,1.07,0.63,1.45,1.0,True,True,True,0,0,9,OK,0.152,True,2
scenario_4,baseline,1.09,0.34,1.77,1.0,True,True,True,0,0,10,OK,,,
scenario_4,during_attack,0.96,0.31,1.8,1.0,True,True,True,0,0,11,OK,7.164,True,1
scenario_5,baseline,1.18,0.32,2.37,0.93,True,True,True,0,0,14,OK,,,
scenario_5,during_attack,0.98,0.34,1.34,0.93,True,True,True,0,0,15,OK,5.0,True,4
