scenario,phase,latency_avg_ms,latency_min_ms,latency_max_ms,throughput_msg_s,influxdb_available,nodered_available,grafana_available,temp_anomalies,humidity_anomalies,power_anomalies,temp_integrity
scenario_1,baseline,0.99,0.29,1.79,1.07,True,True,True,0,0,0,OK
scenario_1,during_attack,0.87,0.17,1.6,1.0,True,True,True,0,0,0,OK
scenario_2,baseline,0.97,0.39,1.72,1.07,True,True,True,0,0,0,OK
scenario_2,during_attack,1.17,0.37,2.55,1.13,True,True,True,10,10,0,COMPROMISED
scenario_3,baseline,1.01,0.4,1.54,1.0,True,True,True,10,10,0,COMPROMISED
scenario_3,during_attack,0.6,0.12,8.47,1.13,True,True,True,10,10,0,COMPROMISED
scenario_4,baseline,0.14,0.11,0.2,1.0,True,True,True,10,10,0,COMPROMISED
scenario_4,during_attack,0.9,0.23,1.47,1.07,True,True,True,10,10,0,COMPROMISED
scenario_5,baseline,1.03,0.52,1.94,1.0,True,True,True,10,10,0,COMPROMISED
scenario_5,during_attack,0.75,0.36,1.32,1.13,True,True,True,10,10,0,COMPROMISED
