scenario,phase,latency_avg_ms,latency_min_ms,latency_max_ms,throughput_msg_s,influxdb_available,nodered_available,grafana_available,temp_anomalies,humidity_anomalies,power_anomalies,temp_integrity
scenario_1,baseline,1.08,0.6,2.2,1.2,True,True,True,0,0,0,OK
scenario_1,during_attack,1.06,0.26,3.41,1.13,True,True,True,0,0,0,OK
scenario_2,baseline,0.93,0.34,1.52,1.07,True,True,True,0,0,0,OK
scenario_2,during_attack,0.97,0.35,1.41,1.07,True,True,True,0,0,0,OK
scenario_3,baseline,1.12,0.35,1.84,1.0,True,True,True,0,0,0,OK
scenario_3,during_attack,0.23,0.13,0.76,1.13,True,True,True,0,0,0,OK
scenario_4,baseline,0.14,0.09,0.3,1.13,True,True,True,0,0,0,OK
scenario_4,during_attack,0.98,0.28,2.13,1.07,True,True,True,0,0,0,OK
scenario_5,baseline,1.15,0.71,2.3,1.2,True,True,True,0,0,0,OK
scenario_5,during_attack,0.85,0.22,1.23,1.2,True,True,True,0,0,0,OK
